number,probability,raw_recipe_probability,uplift_vs_baseline_pp,selected_recipe,selected_blend,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
83,0.23940578905366228,0.2726273536682129,0.17485034007658218,w1y_s300,0.05,4,483,195,192,0.11266791853242814
91,0.23918022421620652,0.2681160569190979,0.15229385633100667,w1y_s300,0.05,6,691,187,184,0.10804564495161058
14,0.23910503742717074,0.26661232113838196,0.14477517742742807,w1y_s300,0.05,1,114,200,196,0.11555683952043912
60,0.2390298491480188,0.26510855555534363,0.1372563495122353,w1y_s300,0.05,3,360,199,195,0.11497905532283692
27,0.23887947258971498,0.26210102438926697,0.12221869368185256,w1y_s300,0.05,5,527,192,191,0.11093456593962155
92,0.23887947258971498,0.26210102438926697,0.12221869368185256,w1y_s300,0.05,4,492,205,202,0.1184457605084501
09,0.23880428431056305,0.26059725880622864,0.1146998657666598,w1y_s300,0.05,0,009,191,188,0.11035678174201935
69,0.23880428431056305,0.26059725880622864,0.1146998657666598,w1y_s300,0.05,3,369,190,187,0.10977899754441715
95,0.23880428431056305,0.26059725880622864,0.1146998657666598,w1y_s300,0.05,2,295,196,196,0.11324570273003033
13,0.23857872096322344,0.25608599185943604,0.09214353103269846,w1y_s300,0.05,0,013,187,182,0.10804564495161058
52,0.2385035326840715,0.2545822262763977,0.0846247031175057,w1y_s300,0.05,9,952,210,203,0.12133468149646107
62,0.2385035326840715,0.2545822262763977,0.0846247031175057,w1y_s300,0.05,6,662,212,204,0.12249024989166546
54,0.2383531576158838,0.25157472491264343,0.06958719629873433,w1y_s300,0.05,6,654,191,189,0.11035678174201935
68,0.2383531576158838,0.25157472491264343,0.06958719629873433,w1y_s300,0.05,3,368,192,191,0.11093456593962155
12,0.2382779693367319,0.2500709593296051,0.06206836838354435,w1y_s300,0.05,7,712,205,205,0.1184457605084501
42,0.23820278105757997,0.24856719374656677,0.05454954046835159,w1y_s300,0.05,4,442,191,190,0.11035678174201935
51,0.23820278105757997,0.24856719374656677,0.05454954046835159,w1y_s300,0.05,8,851,198,195,0.11440127112523472
61,0.23820278105757997,0.24856719374656677,0.05454954046835159,w1y_s300,0.05,2,261,195,193,0.11266791853242814
73,0.23820278105757997,0.24856719374656677,0.05454954046835159,w1y_s300,0.05,2,273,183,183,0.10573450816120179
87,0.23820278105757997,0.24856719374656677,0.05454954046835159,w1y_s300,0.05,8,887,193,191,0.11151235013722374
94,0.23820278105757997,0.24856719374656677,0.05454954046835159,w1y_s300,0.05,1,194,198,197,0.11440127112523472
05,0.23812759352348611,0.24706344306468964,0.047030787058965906,w1y_s300,0.05,4,405,191,190,0.11035678174201935
50,0.23812759352348611,0.24706344306468964,0.047030787058965906,w1y_s300,0.05,2,250,181,180,0.1045789397659974
64,0.23812759352348611,0.24706344306468964,0.047030787058965906,w1y_s300,0.05,9,964,200,199,0.11555683952043912
01,0.2380524052443342,0.2455596774816513,0.039511959143773145,w1y_s300,0.05,1,101,191,187,0.11035678174201935
17,0.2380524052443342,0.2455596774816513,0.039511959143773145,w1y_s300,0.05,8,817,191,187,0.11035678174201935
31,0.2380524052443342,0.2455596774816513,0.039511959143773145,w1y_s300,0.05,8,831,196,189,0.11324570273003033
57,0.2380524052443342,0.2455596774816513,0.039511959143773145,w1y_s300,0.05,8,857,193,190,0.11151235013722374
58,0.2380524052443342,0.2455596774816513,0.039511959143773145,w1y_s300,0.05,3,358,184,181,0.10631229235880399
46,0.2379772169651823,0.24405591189861298,0.03199313122858316,w1y_s300,0.05,2,246,190,188,0.10977899754441715
63,0.2379772169651823,0.24405591189861298,0.03199313122858316,w1y_s300,0.05,7,763,192,188,0.11093456593962155
77,0.2379772169651823,0.24405591189861298,0.03199313122858316,w1y_s300,0.05,7,777,190,187,0.10977899754441715
88,0.2379772169651823,0.24405591189861298,0.03199313122858316,w1y_s300,0.05,2,288,203,200,0.1172901921132457
36,0.23790202943108843,0.24255216121673584,0.02447437781919748,w1y_s300,0.05,7,736,202,199,0.11671240791564351
45,0.23790202943108843,0.24255216121673584,0.02447437781919748,w1y_s300,0.05,5,545,183,183,0.10573450816120179
97,0.23790202943108843,0.24255216121673584,0.02447437781919748,w1y_s300,0.05,6,697,191,188,0.11035678174201935
32,0.2378268411519365,0.2410483956336975,0.01695554990400472,w1y_s300,0.05,6,632,189,185,0.10920121334681497
34,0.2378268411519365,0.2410483956336975,0.01695554990400472,w1y_s300,0.05,6,634,190,189,0.10977899754441715
49,0.2378268411519365,0.2410483956336975,0.01695554990400472,w1y_s300,0.05,5,549,205,201,0.1184457605084501
65,0.2378268411519365,0.2410483956336975,0.01695554990400472,w1y_s300,0.05,3,365,187,182,0.10804564495161058
80,0.2378268411519365,0.2410483956336975,0.01695554990400472,w1y_s300,0.05,3,380,184,184,0.10631229235880399
81,0.2378268411519365,0.2410483956336975,0.01695554990400472,w1y_s300,0.05,1,181,187,185,0.10804564495161058
89,0.2378268411519365,0.2410483956336975,0.01695554990400472,w1y_s300,0.05,4,489,188,182,0.10862342914921277
90,0.23775165361784265,0.23954464495182037,0.009436796494619037,w1y_s300,0.05,1,190,182,182,0.1051567239635996
02,0.23767646533869075,0.23804087936878204,0.0019179685794290524,w1y_s300,0.05,2,202,197,195,0.11382348692763253
10,0.23767646533869075,0.23804087936878204,0.0019179685794290524,w1y_s300,0.05,9,910,209,208,0.12075689729885887
16,0.23767646533869075,0.23804087936878204,0.0019179685794290524,w1y_s300,0.05,4,416,193,189,0.11151235013722374
21,0.23767646533869075,0.23804087936878204,0.0019179685794290524,w1y_s300,0.05,2,221,198,197,0.11440127112523472
24,0.23767646533869075,0.23804087936878204,0.0019179685794290524,w1y_s300,0.05,2,224,198,198,0.11440127112523472
25,0.23767646533869075,0.23804087936878204,0.0019179685794290524,w1y_s300,0.05,5,525,191,189,0.11035678174201935
74,0.23767646533869075,0.23804087936878204,0.0019179685794290524,w1y_s300,0.05,0,074,195,190,0.11266791853242814
84,0.23767646533869075,0.23804087936878204,0.0019179685794290524,w1y_s300,0.05,4,484,196,194,0.11324570273003033
28,0.2376012778045969,0.2365371286869049,-0.005600784829956629,w1y_s300,0.05,4,428,179,178,0.10342337137079301
33,0.2376012778045969,0.2365371286869049,-0.005600784829956629,w1y_s300,0.05,6,633,182,178,0.1051567239635996
44,0.2376012778045969,0.2365371286869049,-0.005600784829956629,w1y_s300,0.05,3,344,223,218,0.1288458760652896
47,0.2376012778045969,0.2365371286869049,-0.005600784829956629,w1y_s300,0.05,8,847,201,198,0.11613462371804131
75,0.2376012778045969,0.2365371286869049,-0.005600784829956629,w1y_s300,0.05,3,375,206,202,0.1190235447060523
08,0.23752608952544496,0.23503336310386658,-0.01311961274514939,w1y_s300,0.05,2,208,201,200,0.11613462371804131
23,0.23752608952544496,0.23503336310386658,-0.01311961274514939,w1y_s300,0.05,7,723,181,178,0.1045789397659974
38,0.23752608952544496,0.23503336310386658,-0.01311961274514939,w1y_s300,0.05,1,138,205,204,0.1184457605084501
03,0.23745090124629303,0.23352959752082825,-0.02063844066034215,w1y_s300,0.05,4,403,193,193,0.11151235013722374
30,0.23745090124629303,0.23352959752082825,-0.02063844066034215,w1y_s300,0.05,4,430,183,180,0.10573450816120179
35,0.23745090124629303,0.23352959752082825,-0.02063844066034215,w1y_s300,0.05,3,335,180,178,0.1040011555683952
48,0.23745090124629303,0.23352959752082825,-0.02063844066034215,w1y_s300,0.05,2,248,190,188,0.10977899754441715
72,0.23745090124629303,0.23352959752082825,-0.02063844066034215,w1y_s300,0.05,5,572,199,196,0.11497905532283692
93,0.23745090124629303,0.23352959752082825,-0.02063844066034215,w1y_s300,0.05,9,993,186,184,0.10746786075400838
41,0.23737571371219918,0.2320258468389511,-0.02815719406972783,w1y_s300,0.05,8,841,207,205,0.11960132890365449
78,0.23737571371219918,0.2320258468389511,-0.02815719406972783,w1y_s300,0.05,8,878,195,195,0.11266791853242814
96,0.23737571371219918,0.2320258468389511,-0.02815719406972783,w1y_s300,0.05,3,396,187,187,0.10804564495161058
19,0.23730052543304728,0.23052208125591278,-0.035676021984917816,w1y_s300,0.05,8,819,194,194,0.11209013433482594
76,0.23730052543304728,0.23052208125591278,-0.035676021984917816,w1y_s300,0.05,1,176,186,183,0.10746786075400838
82,0.23730052543304728,0.23052208125591278,-0.035676021984917816,w1y_s300,0.05,8,882,196,191,0.11324570273003033
22,0.23722533789895342,0.22901833057403564,-0.0431947753943035,w1y_s300,0.05,3,322,191,188,0.11035678174201935
79,0.23722533789895342,0.22901833057403564,-0.0431947753943035,w1y_s300,0.05,7,779,195,192,0.11266791853242814
66,0.2371501496198015,0.22751456499099731,-0.05071360330949626,w1y_s300,0.05,6,666,205,202,0.1184457605084501
67,0.2371501496198015,0.22751456499099731,-0.05071360330949626,w1y_s300,0.05,8,867,184,182,0.10631229235880399
86,0.2371501496198015,0.22751456499099731,-0.05071360330949626,w1y_s300,0.05,1,186,193,191,0.11151235013722374
11,0.2370749613406496,0.22601079940795898,-0.05823243122468624,w1y_s300,0.05,1,111,202,201,0.11671240791564351
43,0.2370749613406496,0.22601079940795898,-0.05823243122468624,w1y_s300,0.05,4,443,199,194,0.11497905532283692
00,0.23699977380655574,0.22450704872608185,-0.06575118463407192,w1y_s300,0.05,2,200,193,193,0.11151235013722374
26,0.23699977380655574,0.22450704872608185,-0.06575118463407192,w1y_s300,0.05,3,326,189,187,0.10920121334681497
37,0.23699977380655574,0.22450704872608185,-0.06575118463407192,w1y_s300,0.05,4,437,183,180,0.10573450816120179
06,0.2369245855274038,0.22300328314304352,-0.07327001254926468,w1y_s300,0.05,9,906,200,197,0.11555683952043912
20,0.2369245855274038,0.22300328314304352,-0.07327001254926468,w1y_s300,0.05,1,120,200,198,0.11555683952043912
40,0.2369245855274038,0.22300328314304352,-0.07327001254926468,w1y_s300,0.05,1,140,190,188,0.10977899754441715
70,0.2369245855274038,0.22300328314304352,-0.07327001254926468,w1y_s300,0.05,3,370,193,193,0.11151235013722374
71,0.2369245855274038,0.22300328314304352,-0.07327001254926468,w1y_s300,0.05,4,471,189,189,0.10920121334681497
15,0.23684939799330995,0.22149953246116638,-0.08078876595865037,w1y_s300,0.05,9,915,202,200,0.11671240791564351
53,0.23684939799330995,0.22149953246116638,-0.08078876595865037,w1y_s300,0.05,6,653,201,197,0.11613462371804131
56,0.23684939799330995,0.22149953246116638,-0.08078876595865037,w1y_s300,0.05,0,056,185,182,0.10689007655640619
07,0.23677420971415802,0.21999576687812805,-0.08830759387384313,w1y_s300,0.05,4,407,191,189,0.11035678174201935
18,0.23677420971415802,0.21999576687812805,-0.08830759387384313,w1y_s300,0.05,7,718,206,205,0.1190235447060523
59,0.23677420971415802,0.21999576687812805,-0.08830759387384313,w1y_s300,0.05,0,059,216,213,0.12480138668207424
99,0.23677420971415802,0.21999576687812805,-0.08830759387384313,w1y_s300,0.05,5,599,186,184,0.10746786075400838
04,0.23669902143500612,0.21849200129508972,-0.09582642178903311,w1y_s300,0.05,6,604,198,193,0.11440127112523472
39,0.23669902143500612,0.21849200129508972,-0.09582642178903311,w1y_s300,0.05,9,939,189,186,0.10920121334681497
85,0.23669902143500612,0.21849200129508972,-0.09582642178903311,w1y_s300,0.05,8,885,192,188,0.11093456593962155
29,0.23654864562176034,0.21548448503017426,-0.11086400311361155,w1y_s300,0.05,4,429,187,184,0.10804564495161058
98,0.23654864562176034,0.21548448503017426,-0.11086400311361155,w1y_s300,0.05,7,798,195,194,0.11266791853242814
