metric,value
window_start,2023-09-21
window_end,2026-09-19
calendar_window_days,1095
observed_draws,1083
total_prize_observations,29241
theoretical_presence_probability,0.23765728565289646
mean_empirical_presence_probability,0.2378855032317636
highest_presence_number,32
highest_presence_rate,0.2659279778393352
lowest_presence_number,85
lowest_presence_rate,0.2077562326869806
highest_occurrence_number,32
highest_occurrences,339
longest_current_gap_number,61
longest_current_gap_draws,17
