approved,baseline_brier,brier_improvement,draws,model_brier,positive_years,recipe,required_positive_years,target,year
,0.181184613628786,-6.660750337192378e-05,361,0.1812512211321579,,long_only,,two_digit,2021
,0.181184613628786,-0.000259213482310533,361,0.18144382711109652,,recency,,two_digit,2021
,0.181184613628786,-0.00020902194734859214,361,0.18139363557613458,,weekday,,two_digit,2021
,0.181184613628786,-0.0002464925011306518,361,0.18143110612991664,,gap,,two_digit,2021
,0.18140262696480855,-3.188293673553333e-05,361,0.18143450990154408,,long_only,,two_digit,2022
,0.18140262696480855,-0.00011645529465076354,361,0.1815190822594593,,recency,,two_digit,2022
,0.18140262696480855,-7.732422094344771e-05,361,0.181479951185752,,weekday,,two_digit,2022
,0.18140262696480855,-0.00010625466186431343,361,0.18150888162667286,,gap,,two_digit,2022
,0.1811119425167785,-3.4676625906560066e-06,361,0.18111541017936916,,long_only,,two_digit,2023
,0.1811119425167785,-0.00023567000333352128,361,0.18134761252011203,,recency,,two_digit,2023
,0.1811119425167785,-0.0001614927731395932,361,0.1812734352899181,,weekday,,two_digit,2023
,0.1811119425167785,-0.00020715221182654453,361,0.18131909472860505,,gap,,two_digit,2023
,0.18128944471909078,-3.0025425641261316e-05,362,0.18131947014473204,,long_only,,two_digit,2024
,0.18128944471909078,-0.00015470710512502373,362,0.1814441518242158,,recency,,two_digit,2024
,0.18128944471909078,-0.00010723261711062526,362,0.1813966773362014,,weekday,,two_digit,2024
,0.18128944471909078,-0.00014144023309919929,362,0.18143088495218998,,gap,,two_digit,2024
,0.18173691408004308,-6.695934147696314e-05,361,0.18180387342152005,,long_only,,two_digit,2025
,0.18173691408004308,-0.00026537154013756004,361,0.18200228562018064,,recency,,two_digit,2025
,0.18173691408004308,-0.00019358287725432244,361,0.1819304969572974,,weekday,,two_digit,2025
,0.18173691408004308,-0.00023380253168570064,361,0.18197071661172878,,gap,,two_digit,2025
,0.18117801322503488,-8.576665166309949e-05,218,0.18126377987669798,,long_only,,two_digit,2026
,0.18117801322503488,-0.00018492284603222053,218,0.1813629360710671,,recency,,two_digit,2026
,0.18117801322503488,-0.00013752259659885469,218,0.18131553582163373,,weekday,,two_digit,2026
,0.18117801322503488,-0.0001671281107707423,218,0.18134514133580562,,gap,,two_digit,2026
,0.02225953902611763,-3.1090125620358844e-06,361,0.022262648038679667,,long_only,,suffix3_any,2021
,0.02225953902611763,-1.4903726940213025e-05,361,0.022274442753057844,,recency,,suffix3_any,2021
,0.02225953902611763,-1.103477475150258e-05,361,0.022270573800869133,,weekday,,suffix3_any,2021
,0.02225953902611763,-1.3369447255502653e-05,361,0.022272908473373133,,gap,,suffix3_any,2021
,0.022209302053715376,-4.059696486504588e-06,361,0.02221336175020188,,long_only,,suffix3_any,2022
,0.022209302053715376,-1.3948018172008775e-05,361,0.022223250071887385,,recency,,suffix3_any,2022
,0.022209302053715376,-1.0849824064552982e-05,361,0.02222015187777993,,weekday,,suffix3_any,2022
,0.022209302053715376,-1.2622822509630177e-05,361,0.022221924876225006,,gap,,suffix3_any,2022
,0.0222463187702223,-2.1129286170706862e-06,361,0.02224843169883937,,long_only,,suffix3_any,2023
,0.0222463187702223,-1.466846455573656e-05,361,0.022260987234778037,,recency,,suffix3_any,2023
,0.0222463187702223,-1.0601153983002404e-05,361,0.022256919924205303,,weekday,,suffix3_any,2023
,0.0222463187702223,-1.302739437672451e-05,361,0.022259346164599025,,gap,,suffix3_any,2023
,0.02223639262228763,-1.784859126004179e-06,362,0.022238177481413633,,long_only,,suffix3_any,2024
,0.02223639262228763,-1.487564314626294e-05,362,0.02225126826543389,,recency,,suffix3_any,2024
,0.02223639262228763,-1.0837226928690769e-05,362,0.02224722984921632,,weekday,,suffix3_any,2024
,0.02223639262228763,-1.3299021310371473e-05,362,0.022249691643598,,gap,,suffix3_any,2024
,0.022243674719043236,-3.7889632100128467e-06,361,0.02224746368225325,,long_only,,suffix3_any,2025
,0.022243674719043236,-1.4955962093714248e-05,361,0.02225863068113695,,recency,,suffix3_any,2025
,0.022243674719043236,-1.0994624927405244e-05,361,0.02225466934397064,,weekday,,suffix3_any,2025
,0.022243674719043236,-1.3371949490074975e-05,361,0.02225704666853331,,gap,,suffix3_any,2025
,0.02226965434117883,-1.4466925918714402e-06,218,0.022271101033770703,,long_only,,suffix3_any,2026
,0.02226965434117883,-1.2501200495878412e-05,218,0.02228215554167471,,recency,,suffix3_any,2026
,0.02226965434117883,-8.082902394738328e-06,218,0.02227773724357357,,weekday,,suffix3_any,2026
,0.02226965434117883,-1.054664285177545e-05,218,0.022280200984030607,,gap,,suffix3_any,2026
,0.0029910000089940006,-4.145766718905916e-07,361,0.002991414585665891,,long_only,,g6_exact,2021
,0.0029910000089940006,-9.864732373509114e-07,361,0.0029919864822313515,,recency,,g6_exact,2021
,0.0029910000089940006,-7.067672420772199e-07,361,0.002991706776236078,,weekday,,g6_exact,2021
